POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
1,Sai Sudharsan,759,15,15,1,108*,54.21,486,156.17,1,6,88,21
4,Shubman Gill,650,15,15,2,93*,50.00,417,155.87,0,6,62,24
10,Jos Buttler,538,14,13,4,97*,59.78,330,163.03,0,5,52,24
34,Sherfane Rutherford,291,13,11,2,46,32.33,185,157.29,0,0,22,18
59,Shahrukh Khan,179,15,11,5,57,29.83,100,179.00,0,1,11,13
68,Washington Sundar,133,6,5,0,49,26.60,80,166.25,0,0,10,7
76,Rahul Tewatia,99,15,12,4,24*,12.38,59,167.79,0,0,6,7
97,Rashid Khan,40,15,8,3,12,8.00,28,142.85,0,0,2,3
102,Mohd Arshad Khan,23,9,5,3,20,11.50,19,121.05,0,0,0,3
106,Kusal Mendis,20,1,1,0,20,20.00,10,200.00,0,0,1,2
109,Gerald Coetzee,17,4,2,0,12,8.50,11,154.54,0,0,2,1
121,Kagiso Rabada,9,4,2,1,7*,9.00,8,112.50,0,0,0,1
135,Sai Kishore,5,15,3,0,3,1.67,10,50.00,0,0,0,0
142,Mohammed Siraj,3,15,1,1,3*,-,4,75.00,0,0,0,0
