POS,Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
1,Prasidh Krishna,GT,25,15,15,59,488,41/4,19.52,8.27,14.16,1,0
6,Sai Kishore,GT,19,15,15,42.3,393,30/3,20.68,9.24,13.42,0,0
14,Mohammed Siraj,GT,16,15,15,57,527,17/4,32.93,9.24,21.37,1,0
40,Rashid Khan,GT,9,15,15,55,514,25/2,57.11,9.34,36.66,0,0
54,Mohd Arshad Khan,GT,6,9,9,21,217,7/1,36.16,10.33,21,0,0
69,Ishant Sharma,GT,4,7,7,18.2,205,18/1,51.25,11.18,27.5,0,0
82,Washington Sundar,GT,2,6,5,10.5,111,28/1,55.5,10.24,32.5,0,0
84,Gerald Coetzee,GT,2,4,4,12,131,10/1,65.5,10.91,36,0,0
85,Kagiso Rabada,GT,2,4,4,14,162,41/1,81,11.57,42,0,0
93,Kulwant Khejroliya,GT,1,1,1,3,29,29/1,29,9.66,18,0,0
105,Shahrukh Khan,GT,1,15,1,1,13,13/1,13,13,6,0,0
