POS,Player,Dots,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
1,Mohammed Siraj (GT),151,15,15,57.0,527,16,32.93,9.24,21.37,1,0
2,Prasidh Krishna (GT),146,15,15,59.0,488,25,19.52,8.27,14.16,1,0
3,Khaleel Ahmed (CSK),137,14,14,46.4,447,15,29.80,9.57,18.66,0,0
4,Arshdeep Singh (PBKS),137,17,16,58.2,518,21,24.66,8.88,16.66,0,0
5,Jasprit Bumrah (MI),128,12,12,47.2,316,18,17.55,6.67,15.77,1,0
6,Trent Boult (MI),127,16,16,57.4,517,22,23.50,8.96,15.72,1,0
7,Bhuvneshwar Kumar (RCB),123,14,14,52.0,483,17,28.41,9.28,18.35,0,0
8,Josh Hazlewood (RCB),120,12,12,44.0,386,22,17.54,8.77,12.00,1,0
9,Pat Cummins (SRH),118,14,14,49.4,450,16,28.12,9.06,18.62,0,0
10,Varun Chakaravarthy (KKR),117,13,13,50.0,383,17,22.52,7.66,17.64,0,0
11,Marco Jansen (PBKS),116,14,14,47.1,434,16,27.12,9.20,17.68,0,0
12,Jofra Archer (RR),110,12,12,45.3,431,11,39.18,9.47,24.81,0,0
13,Deepak Chahar (MI),108,14,14,41.0,376,11,34.18,9.17,22.36,0,0
14,Noor Ahmad (CSK),107,14,14,50.0,408,24,17.00,8.16,12.50,1,0
15,Kuldeep Yadav (DC),107,14,13,51.0,361,15,24.06,7.07,20.40,0,0
16,Harshit Rana (KKR),105,13,13,44.0,448,15,29.86,10.18,17.60,0,0
17,Suyash Sharma (RCB),102,14,14,50.0,442,8,55.25,8.84,37.50,0,0
18,Digvesh Singh (LSG),98,13,13,52.0,429,14,30.64,8.25,22.28,0,0
19,Yash Dayal (RCB),97,15,15,49.0,470,13,36.15,9.59,22.61,0,0
20,Vaibhav Arora (KKR),94,12,12,42.3,430,17,25.29,10.11,15.00,0,0
21,Rashid Khan (GT),94,15,15,55.0,514,9,57.11,9.34,36.66,0,0
22,Sunil Narine (KKR),89,12,12,45.0,351,12,29.25,7.80,22.50,0,0
23,Mitchell Starc (DC),85,11,10,36.0,366,14,26.14,10.16,15.42,0,1
24,Harshal Patel (SRH),85,13,13,43.5,430,16,26.87,9.80,16.43,1,0
25,Krunal Pandya (RCB),84,15,15,46.0,379,17,22.29,8.23,16.23,1,0
26,Mukesh Kumar (DC),82,12,12,39.3,408,12,34.00,10.32,19.75,1,0
27,Matheesha Pathirana (CSK),82,12,12,41.5,424,13,32.61,10.13,19.30,0,0
28,Mitchell Santner (MI),79,13,13,39.3,313,10,31.30,7.92,23.70,0,0
29,Ravindra Jadeja (CSK),77,14,14,37.5,324,10,32.40,8.56,22.70,0,0
30,Sai Kishore (GT),77,15,15,42.3,393,19,20.68,9.24,13.42,0,0
