POS,Player,Team,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings
1,Surya Kumar Yadav,MI,320.5,16,0,0,69,38,6,0.0,0
2,Sai Sudharsan,GT,311.0,15,0,0,88,21,7,0.0,0
3,Yashasvi Jaiswal,RR,273.0,14,0,0,60,28,10,0.0,0
4,Nicholas Pooran,LSG,272.5,14,0,0,45,40,8,0.0,0
5,Mitchell Marsh,LSG,272.0,13,0,0,56,37,1,0.0,0
6,Sunil Narine,KKR,270.5,12,12,89,25,19,3,3.0,0
7,Shreyas Iyer,PBKS,261.5,17,0,0,43,39,7,0.0,0
8,Shubman Gill,GT,259.0,15,0,0,62,24,8,0.0,0
9,Abhishek Sharma,SRH,255.0,14,0,22,46,28,8,0.0,0
10,Prabhsimran Singh,PBKS,252.5,17,0,0,56,30,2,0.0,1
11,Prasidh Krishna,GT,246.0,15,25,146,0,0,5,0.0,0
12,Priyansh Arya,PBKS,245.0,17,0,0,55,25,8,0.0,0
13,Virat Kohli,RCB,242.0,15,0,0,66,19,3,3.0,0
14,Jos Buttler,GT,240.5,14,0,0,52,24,8,1.5,2
15,Pat Cummins,SRH,226.0,14,16,118,6,7,5,0.0,0
16,Ravindra Jadeja,CSK,226.0,14,10,77,25,10,6,1.5,0
17,Ryan Rickelton,MI,224.5,14,0,0,47,17,11,7.5,5
18,Riyan Parag,RR,224.0,14,3,30,27,27,8,1.5,0
19,Arshdeep Singh,PBKS,223.5,17,21,137,0,0,4,3.0,0
20,Mohammed Siraj,GT,219.5,15,16,151,0,0,5,0.0,0
21,Phil Salt,RCB,219.5,13,0,0,48,22,9,0.0,0
22,Aiden Markram,LSG,218.5,13,4,15,38,22,7,0.0,0
23,Hardik Pandya,MI,216.5,15,14,67,18,12,3,6.0,0
24,Heinrich Klaasen,SRH,214.5,14,0,0,42,25,7,4.5,0
25,K L Rahul,DC,214.0,13,0,0,52,21,3,3.0,0
26,Marco Jansen,PBKS,213.5,14,16,116,3,4,8,0.0,0
27,Trent Boult,MI,206.5,16,22,127,0,0,1,0.0,0
28,Axar Patel,DC,205.5,12,5,65,23,15,4,3.0,0
29,Josh Hazlewood,RCB,199.5,12,22,120,0,0,1,0.0,0
30,Bhuvneshwar Kumar,RCB,199.0,14,17,123,1,0,5,1.5,0
31,Noor Ahmad,CSK,196.0,14,24,107,0,0,2,0.0,0
32,Jasprit Bumrah,MI,196.0,12,18,128,0,0,2,0.0,0
33,Harshit Rana,KKR,195.5,13,15,105,5,3,6,0.0,0
34,Krunal Pandya,RCB,195.0,15,17,84,9,4,6,0.0,0
35,Khaleel Ahmed,CSK,195.0,14,15,137,0,0,1,3.0,0
36,Vipraj Nigam,DC,190.0,14,11,74,15,8,3,4.5,0
37,Travis Head,SRH,185.0,13,0,0,50,15,3,0.0,0
38,Rohit Sharma,MI,182.0,15,0,0,41,22,1,0.0,0
39,Varun Chakaravarthy,KKR,181.5,13,17,117,0,0,2,0.0,0
40,Jofra Archer,RR,172.5,12,11,110,3,4,1,0.0,0
41,Jitesh Sharma,RCB,172.5,15,0,0,24,17,19,3.0,1
42,Ajinkya Rahane,KKR,172.5,13,0,0,36,20,5,0.0,0
43,Deepak Chahar,MI,167.5,14,11,108,3,2,2,1.5,0
44,Vaibhav Arora,KKR,166.5,12,17,94,0,0,4,3.0,0
45,Kuldeep Yadav,DC,164.5,14,15,107,2,0,0,0.0,0
46,Will Jacks,MI,163.0,13,6,32,22,11,6,1.5,0
47,Ishan Kishan,SRH,159.5,14,0,0,33,15,8,4.5,0
48,Nehal Wadhera,PBKS,159.5,16,0,1,28,21,6,0.0,0
49,Andre Russell,KKR,158.5,13,8,29,16,14,5,0.0,0
50,Rashid Khan,GT,157.5,15,9,94,2,3,6,1.5,0
