POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
6,Shreyas Iyer,604,17,17,5,97*,50.33,345,175.07,0,6,43,39
8,Prabhsimran Singh,549,17,17,0,91,32.29,342,160.52,0,4,56,30
13,Priyansh Arya,475,17,17,0,103,27.94,265,179.24,1,2,55,25
22,Nehal Wadhera,369,16,15,3,70,30.75,253,145.84,0,2,28,21
25,Shashank Singh,350,17,14,7,61*,50.00,228,153.50,0,3,23,18
36,Josh Inglis,278,11,11,2,73,30.89,171,162.57,0,1,26,16
62,Marcus Stoinis,160,13,11,5,44*,26.67,86,186.04,0,0,8,15
82,Marco Jansen,75,14,8,4,34*,18.75,63,119.04,0,0,3,4
90,Azmatullah Omarzai,57,9,5,1,21*,14.25,41,139.02,0,0,6,3
94,Glenn Maxwell,48,7,6,0,30,8.00,49,97.95,0,0,5,1
116,Harpreet Brar,11,8,2,1,7*,11.00,13,84.61,0,0,0,1
117,Xavier Bartlett,11,4,1,0,11,11.00,15,73.33,0,0,1,0
128,Suryansh Shedge,7,5,3,0,4,2.33,11,63.63,0,0,0,0
138,Lockie Ferguson,4,4,1,1,4*,-,1,400.00,0,0,1,0
148,Arshdeep Singh,2,17,2,1,1*,2.00,6,33.33,0,0,0,0
