POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
7,Yashasvi Jaiswal,559,14,14,1,75,43.00,350,159.71,0,6,60,28
18,Riyan Parag,393,14,14,2,95,32.75,236,166.52,0,1,27,27
27,Dhruv Jurel,333,14,13,4,70,37.00,213,156.33,0,2,22,22
35,Sanju Samson,285,9,9,1,66,35.63,203,140.39,0,1,27,13
40,Vaibhav Suryavanshi,252,7,7,0,101,36.00,122,206.55,1,1,18,24
45,Shimron Hetmyer,239,14,13,2,52,21.73,164,145.73,0,1,17,11
50,Nitish Rana,217,11,11,1,81,21.70,134,161.94,0,2,27,9
75,Shubham Dubey,106,9,8,4,34*,26.50,66,160.60,0,0,6,8
88,Jofra Archer,63,12,7,1,30,10.50,50,126.00,0,0,3,4
120,Maheesh Theekshana,10,11,4,2,5,5.00,27,37.03,0,0,0,0
124,Wanindu Hasaranga,9,11,5,0,4,1.80,15,60.00,0,0,0,0
125,Kwena Maphaka,8,2,1,1,8*,-,2,400.00,0,0,2,0
127,Tushar Deshpande,7,10,4,3,3,7.00,8,87.50,0,0,0,0
131,Sandeep Sharma,6,10,1,1,6*,-,5,120.00,0,0,0,0
140,Akash Madhwal,4,4,1,1,4*,-,9,44.44,0,0,0,0
143,Kumar Kartikeya Singh,3,4,2,0,2,1.50,5,60.00,0,0,0,0
145,Fazalhaq Farooqi,2,5,1,1,2*,-,2,100.00,0,0,0,0
