POS,Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
23,Shivam Dube,CSK,357,14,14,3,50,32.45,270,132.22,0,1,22,21
31,Ravindra Jadeja,CSK,301,14,14,5,77*,33.44,222,135.58,0,2,25,10
44,Ayush Mhatre,CSK,240,7,7,0,94,34.29,127,188.97,0,1,31,11
48,Dewald Brevis,CSK,225,6,6,0,57,37.5,125,180,0,2,13,17
55,MS Dhoni,CSK,196,14,13,5,30*,24.5,145,135.17,0,0,12,12
56,Rachin Ravindra,CSK,191,8,8,1,65*,27.29,149,128.18,0,1,18,4
63,Devon Conway,CSK,156,6,6,0,69,26,119,131.09,0,2,17,4
69,Ruturaj Gaikwad,CSK,122,5,5,0,63,24.4,81,150.61,0,2,14,4
71,Vijay Shankar,CSK,118,6,5,2,69*,39.33,91,129.67,0,1,8,3
72,Sam Curran,CSK,114,5,5,0,88,22.8,84,135.71,0,1,11,4
84,Shaik Rasheed,CSK,71,5,5,0,27,14.2,63,112.69,0,0,9,2
86,Urvil Patel,CSK,68,3,3,0,37,22.67,32,212.5,0,0,5,6
93,Rahul Tripathi,CSK,55,5,5,0,23,11,57,96.49,0,0,6,1
100,Ravichandran Ashwin,CSK,33,9,4,0,13,8.25,30,110,0,0,3,1
101,Deepak Hooda,CSK,31,7,5,0,22,6.2,41,75.6,0,0,2,1
110,Jamie Overton,CSK,15,3,2,2,11*,,7,214.28,0,0,1,1
111,Anshul Kamboj,CSK,14,8,5,3,5*,7,12,116.66,0,0,2,0
129,Noor Ahmad,CSK,7,14,6,2,2*,1.75,17,41.17,0,0,0,0
152,Khaleel Ahmed,CSK,1,14,2,2,1*,,2,50,0,0,0,0
