POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
9,K L Rahul,539,13,13,3,112*,53.90,360,149.72,1,3,52,21
30,Abishek Porel,301,13,13,1,51,25.08,205,146.82,0,1,28,12
32,Tristan Stubbs,300,14,13,7,41*,50.00,199,150.75,0,0,25,11
38,Axar Patel,263,12,11,1,43,26.30,167,157.48,0,0,23,15
52,Ashutosh Sharma,204,13,9,2,66*,29.14,127,160.62,0,1,14,13
53,Faf Du Plessis,202,9,9,0,62,22.44,163,123.92,0,2,18,8
54,Karun Nair,198,8,8,0,89,24.75,115,172.17,0,1,24,10
66,Vipraj Nigam,142,14,8,1,39,20.29,79,179.74,0,0,15,8
70,Sameer Rizvi,121,5,4,1,58*,40.33,79,153.16,0,1,11,7
92,Jake Fraser - McGurk,55,6,6,0,38,9.17,52,105.76,0,0,7,2
103,Sediqullah Atal,22,1,1,0,22,22.00,16,137.50,0,0,0,2
108,Kuldeep Yadav,18,14,5,2,7,6.00,16,112.50,0,0,2,0
119,Dushmantha Chameera,10,6,3,3,8*,-,14,71.42,0,0,0,0
132,Mitchell Starc,6,11,6,4,2*,3.00,10,60.00,0,0,0,0
141,Madhav Tiwari,3,1,1,0,3,3.00,4,75.00,0,0,0,0
153,Mohit Sharma,1,8,2,1,1*,1.00,3,33.33,0,0,0,0
154,Donovan Ferreira,1,1,1,0,1,1.00,3,33.33,0,0,0,0
