POS,Player,Team,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
19,Ajinkya Rahane,KKR,390,13,12,1,61,35.45,264,147.72,0,3,36,20
33,Angkrish Raghuvanshi,KKR,300,12,11,2,50,33.33,215,139.53,0,1,30,8
43,Sunil Narine,KKR,246,12,12,1,44,22.36,144,170.83,0,0,25,19
51,Rinku Singh,KKR,206,13,11,4,38*,29.43,134,153.73,0,0,20,10
60,Andre Russell,KKR,167,13,10,1,57*,18.56,102,163.72,0,1,16,14
65,Quinton De Kock,KKR,152,8,8,1,97*,21.71,117,129.91,0,1,9,11
67,Venkatesh Iyer,KKR,142,11,7,0,60,20.29,102,139.21,0,1,15,4
79,Manish Pandey,KKR,92,3,3,1,37,46,65,141.53,0,0,5,5
83,Rahmanullah Gurbaz,KKR,74,5,5,1,35,18.5,53,139.62,0,0,10,3
91,Harshit Rana,KKR,57,13,7,3,34,14.25,53,107.54,0,0,5,3
96,Ramandeep Singh,KKR,47,11,7,2,22,9.4,35,134.28,0,0,1,4
134,Rovman Powell,KKR,5,2,1,0,5,5,5,100,0,0,1,0
137,Moeen Ali,KKR,5,6,2,0,5,2.5,14,35.71,0,0,0,0
147,Spencer Johnson,KKR,2,4,2,2,1*,,4,50,0,0,0,0
149,Varun Chakaravarthy,KKR,1,13,1,1,1*,,1,100,0,0,0,0
