POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
5,Mitchell Marsh,627,13,13,0,117,48.23,383,163.70,1,6,56,37
11,Nicholas Pooran,524,14,14,2,87*,43.67,267,196.25,0,5,45,40
14,Aiden Markram,445,13,13,0,66,34.23,299,148.82,0,5,38,22
28,Ayush Badoni,329,14,11,1,74,32.90,222,148.19,0,2,27,14
37,Rishabh Pant,269,14,13,2,118*,24.45,202,133.16,1,1,23,16
61,Abdul Samad,164,13,12,4,45,20.50,93,176.34,0,0,8,14
64,David Miller,153,11,11,6,27*,30.60,120,127.50,0,0,13,4
104,Avesh Khan,21,13,4,3,19*,21.00,12,175.00,0,0,3,1
107,Shardul Thakur,18,10,5,2,6,6.00,12,150.00,0,0,3,0
112,Matthew Breetzke,14,1,1,0,14,14.00,12,116.66,0,0,1,1
115,Ravi Bishnoi,13,11,3,1,13,6.50,16,81.25,0,0,0,2
122,Shahbaz Ahmed,9,3,1,0,9,9.00,8,112.50,0,0,1,0
130,Akash Deep,6,6,2,1,6*,6.00,2,300.00,0,0,0,1
136,Prince Yadav,5,6,2,2,4*,-,10,50.00,0,0,0,0
155,Digvesh Singh,1,13,2,1,1,1.00,3,33.33,0,0,0,0
