Player,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
Arshdeep Singh,17,16,58.2,518,16/3,24.66,8.88,16.66,0,0
Marco Jansen,14,14,47.1,434,17/3,27.12,9.2,17.68,0,0
Yuzvendra Chahal,14,13,45,430,28/4,26.87,9.55,16.87,2,0
Harpreet Brar,8,7,22,190,22/3,19,8.63,13.2,0,0
Azmatullah Omarzai,9,8,27,279,33/2,34.87,10.33,20.25,0,0
Lockie Ferguson,4,4,11.2,104,37/2,20.8,9.17,13.6,0,0
Kyle Jamieson,4,4,15,147,48/3,29.4,9.8,18,0,0
Glenn Maxwell,7,6,13,110,5/1,27.5,8.46,19.5,0,0
Vyshak Vijaykumar,5,5,17,181,44/2,45.25,10.64,25.5,0,0
Xavier Bartlett,4,4,10,96,26/1,48,9.6,30,0,0
Pravin Dubey,1,1,2,20,20/1,20,10,12,0,0
Yash Thakur,2,2,6.3,79,39/1,79,12.15,39,0,0
Marcus Stoinis,13,9,14.1,175,14/1,175,12.35,85,0,0
Musheer Khan,1,1,2,27,27/1,27,13.5,12,0,0
