POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
3,Virat Kohli,657,15,15,3,73*,54.75,454,144.71,0,8,66,19
17,Phil Salt,403,13,13,1,65,33.58,229,175.98,0,4,48,22
29,Rajat Patidar,312,15,14,1,64,24.00,217,143.77,0,2,25,14
39,Jitesh Sharma,261,15,11,4,85*,37.29,148,176.35,0,1,24,17
42,Devdutt Padikkal,247,10,10,1,61,27.44,164,150.60,0,2,21,14
57,Tim David,187,12,9,6,50*,62.33,101,185.14,0,1,16,14
73,Liam Livingstone,112,10,8,1,54,16.00,84,133.33,0,1,4,9
74,Krunal Pandya,109,15,7,1,73*,18.17,86,126.74,0,1,9,4
78,Mayank Agarwal,95,4,4,1,41*,31.67,64,148.43,0,0,10,2
85,Romario Shepherd,70,8,3,1,53*,35.00,24,291.66,0,1,5,7
87,Jacob Bethell,67,2,2,0,55,33.50,39,171.79,0,1,9,3
113,Bhuvneshwar Kumar,14,14,6,3,8,4.67,25,56.00,0,0,1,0
139,Yash Dayal,4,15,3,1,3,2.00,8,50.00,0,0,0,0
156,Manoj Bhandage,1,1,1,0,1,1.00,4,25.00,0,0,0,0
