Player,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
Wanindu Hasaranga,11,11,41,371,35/4,33.72,9.04,22.36,1,0
Jofra Archer,12,12,45.3,431,25/3,39.18,9.47,24.81,0,0
Maheesh Theekshana,11,11,42,410,26/2,37.27,9.76,22.9,0,0
Sandeep Sharma,10,10,36.3,361,21/2,40.11,9.89,24.33,0,0
Tushar Deshpande,10,10,32,340,44/3,37.77,10.62,21.33,0,0
Akash Madhwal,4,4,15,166,29/3,41.5,11.06,22.5,0,0
Yudhvir Singh Charak,4,4,11,131,47/3,32.75,11.9,16.5,0,0
Riyan Parag,14,9,20,170,12/1,56.66,8.5,40,0,0
Kumar Kartikeya Singh,4,4,8,78,21/1,39,9.75,24,0,0
Kwena Maphaka,2,2,5,54,32/1,54,10.8,30,0,0
