POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
12,Heinrich Klaasen,487,13,13,2,105*,44.27,282,172.69,1,1,42,25
15,Abhishek Sharma,439,14,13,0,141,33.77,227,193.39,1,2,46,28
21,Travis Head,374,13,12,0,76,31.17,230,162.60,0,3,50,15
24,Ishan Kishan,354,14,13,3,106*,35.40,232,152.58,1,1,33,15
46,Aniket Verma,236,14,12,3,74,26.22,142,166.19,0,1,12,20
58,Nitish Kumar Reddy,182,13,11,3,32,22.75,153,118.95,0,0,16,4
77,Pat Cummins,97,14,9,5,22*,24.25,58,167.24,0,0,6,7
80,Kamindu Mendis,92,5,5,2,32*,30.67,69,133.33,0,0,7,2
89,Abhinav Manohar,61,8,5,0,43,12.20,61,100.00,0,0,2,4
105,Harshal Patel,21,13,4,2,12*,10.50,26,80.76,0,0,0,0
114,Atharva Taide,13,1,1,0,13,13.00,9,144.44,0,0,3,0
118,Mohammad Shami,10,9,4,3,6*,10.00,10,100.00,0,0,1,0
123,Wiaan Mulder,9,1,1,0,9,9.00,11,81.81,0,0,1,0
144,Simarjeet Singh,3,4,3,1,3*,1.50,7,42.85,0,0,0,0
