Player,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
Pat Cummins,14,14,49.4,450,19/3,28.12,9.06,18.62,0,0
Harshal Patel,13,13,43.5,430,28/4,26.87,9.8,16.43,2,0
Eshan Malinga,7,7,26.4,238,31/3,18.3,8.92,12.3,0,0
Jaydev Unadkat,7,7,23.5,175,24/3,15.9,7.34,13,0,0
Zeeshan Ansari,10,10,33.5,333,42/3,55.5,9.84,33.83,0,0
Mohammad Shami,9,9,30,337,28/2,56.16,11.23,30,0,0
Harsh Dubey,3,3,10,98,34/3,19.6,9.8,12,0,0
Kamindu Mendis,5,4,7,60,4/1,30,8.57,21,0,0
Nitish Kumar Reddy,13,3,5,47,13/1,23.5,9.4,15,0,0
Adam Zampa,2,2,8,94,46/1,47,11.75,24,0,0
Simarjeet Singh,4,4,10,141,46/2,70.5,14.1,30,0,0
